City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Longyearbyen,SJ,78.2186,15.6401,33.64,69,40,20.71,scattered clouds
231,Qaqortoq,GL,60.7167,-46.0333,25.3,65,30,6.29,scattered clouds
232,Porto Novo,BJ,6.4965,2.6036,75.02,87,100,9.04,overcast clouds
233,Grindavik,IS,63.8424,-22.4338,37.35,86,75,21.85,broken clouds
234,Dakar,SN,14.6937,-17.4441,81.48,76,99,15.01,overcast clouds
235,Ocampo,MX,21.65,-101.5,62.65,42,100,8.48,overcast clouds
236,Mehamn,NO,71.0357,27.8492,32.16,84,100,13.51,overcast clouds
237,Morondava,MG,-20.2833,44.2833,69.94,86,73,7.4,broken clouds
238,Pangoa,PE,-12.1167,-73.0,69.33,93,21,3.29,few clouds
239,Andros,GR,37.8333,24.9333,61.36,70,16,4.0,few clouds
240,Pangnirtung,CA,66.1451,-65.7125,27.19,97,100,4.18,snow
241,Iqaluit,CA,63.7506,-68.5145,29.93,86,90,8.99,overcast clouds
242,Gimli,CA,50.6336,-96.9907,34.43,83,86,18.32,overcast clouds
243,Hefei,CN,31.8639,117.2808,65.79,54,8,5.61,clear sky
244,Bundaberg,AU,-24.85,152.35,77.29,44,75,17.27,broken clouds
245,Tirumullaivasal,IN,11.2333,79.8333,78.58,88,100,6.64,overcast clouds
246,Manaure,CO,11.7751,-72.4445,81.64,73,100,8.19,overcast clouds
247,Las Cruces,US,32.3123,-106.7783,74.28,27,1,4.0,clear sky
248,Kuah,MY,6.3265,99.8432,80.4,79,100,5.28,overcast clouds
249,Hit,IQ,33.6416,42.8251,75.13,32,100,10.29,overcast clouds
250,Bay City,US,43.5945,-83.8889,45.95,82,1,9.22,clear sky
251,Kozhva,RU,65.1073,57.0459,8.2,94,27,5.19,scattered clouds
252,Meulaboh,ID,4.1363,96.1285,77.38,84,100,3.31,overcast clouds
253,Bairiki,KI,1.3292,172.9752,87.8,62,40,11.5,scattered clouds
254,Gorontalo,ID,0.5412,123.0595,86.22,66,46,2.42,scattered clouds
255,Oranjemund,NA,-28.55,16.4333,61.54,73,100,8.93,overcast clouds
256,San Quintin,MX,30.4833,-115.95,63.36,81,0,8.84,clear sky
257,Orocue,CO,4.7912,-71.3354,76.08,91,100,4.63,overcast clouds
258,Arys,KZ,42.4252,68.795,39.42,59,11,2.89,few clouds
259,Mitsamiouli,KM,-11.3847,43.2844,78.39,79,4,11.25,clear sky
260,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,94,99,8.21,overcast clouds
261,Jacareacanga,BR,-6.2222,-57.7528,75.13,87,66,1.66,broken clouds
262,Hovd,MN,48.0056,91.6419,34.03,31,1,17.02,clear sky
263,Plettenberg Bay,ZA,-34.0527,23.3716,61.74,88,57,12.71,broken clouds
264,Calabozo,VE,8.9242,-67.4293,75.69,90,100,3.33,overcast clouds
265,Vangaindrano,MG,-23.35,47.6,71.35,94,100,6.31,light rain
266,Kropotkin,RU,45.4375,40.5756,46.47,93,99,7.56,overcast clouds
267,Kumla,SE,59.1277,15.1434,44.55,92,100,7.92,overcast clouds
268,Deputatskiy,RU,69.3,139.9,-3.26,84,100,1.66,overcast clouds
269,Calvinia,ZA,-31.4707,19.776,51.58,83,100,9.89,overcast clouds
270,Nanortalik,GL,60.1432,-45.2371,33.85,68,92,9.78,overcast clouds
271,San Vicente,AR,-26.6167,-54.1333,62.49,97,0,3.11,clear sky
272,Terekli-Mekteb,RU,44.1671,45.8698,55.13,88,100,9.06,overcast clouds
273,Yining,CN,29.0361,114.5636,61.65,82,100,1.28,overcast clouds
274,Mount Gambier,AU,-37.8333,140.7667,67.55,44,5,1.81,clear sky
275,Xixiang,CN,35.1628,112.865,55.53,66,100,3.94,overcast clouds
276,Burns Lake,CA,54.2331,-125.7533,30.18,59,6,3.31,clear sky
277,Victoria,HK,22.2855,114.1577,78.24,81,37,1.01,scattered clouds
278,Kolyvan,RU,55.3053,82.7391,22.62,91,100,8.55,overcast clouds
279,Nara,JP,34.6851,135.8049,70.5,47,100,1.19,overcast clouds
280,Shirvan,AZ,39.9509,48.8994,52.61,83,65,3.38,broken clouds
281,Santa Maria,BR,-29.6842,-53.8069,69.28,86,82,5.17,broken clouds
282,Nome,US,64.5011,-165.4064,16.77,91,46,6.64,scattered clouds
283,Naryan-Mar,RU,67.6713,53.087,8.64,90,5,6.22,clear sky
284,Sao Desiderio,BR,-12.3633,-44.9733,78.03,53,100,1.81,overcast clouds
285,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,40,40,5.99,scattered clouds
286,Sayyan,YE,15.1718,44.3244,50.16,63,1,5.28,clear sky
287,Mar Del Plata,AR,-38.0023,-57.5575,55.09,90,90,5.01,light rain
288,Ginir,ET,7.1333,40.7,57.0,78,92,4.56,light rain
289,Isangel,VU,-19.55,169.2667,77.99,71,98,11.61,overcast clouds
290,Piacabucu,BR,-10.4056,-36.4344,76.91,79,100,9.17,overcast clouds
291,Sisimiut,GL,66.9395,-53.6735,35.22,94,99,23.76,light rain
292,Newport,GB,51.5877,-2.9984,52.61,88,98,26.51,overcast clouds
293,Klyuchi,RU,52.2667,79.1667,27.95,76,100,9.93,overcast clouds
294,Oudtshoorn,ZA,-33.5907,22.2014,59.36,74,100,5.1,overcast clouds
295,Mahibadhoo,MV,3.7833,72.9667,83.5,71,14,20.58,few clouds
296,Saint-Pierre,RE,-21.3393,55.4781,68.29,72,0,5.75,clear sky
297,Cam Ranh,VN,11.9214,109.1591,80.4,81,25,8.46,scattered clouds
298,Soe,ID,-9.8607,124.284,81.54,48,98,3.98,overcast clouds
299,Helong,CN,42.5397,128.9972,41.05,97,100,2.77,light rain
300,Sciacca,IT,37.5082,13.0881,64.47,97,100,6.85,light rain
301,Ishigaki,JP,24.3448,124.1572,77.5,69,89,16.55,overcast clouds
302,Waddan,LY,29.1614,16.139,69.48,33,7,4.41,clear sky
303,Umm Kaddadah,SD,13.6017,26.6876,82.92,19,32,15.88,scattered clouds
304,Neyshabur,IR,36.2133,58.7958,48.04,46,6,1.39,clear sky
305,Oxford,GB,51.7522,-1.256,50.18,81,88,4.0,moderate rain
306,Palivere,EE,58.9664,23.8911,50.63,91,100,4.7,overcast clouds
307,Gerash,IR,27.6652,54.1371,67.01,36,0,2.66,clear sky
